,query,date,id,user,text,geo
361,Colombia -filter:retweets,2021-09-01 19:17:07,1433146924086005761,MadHatt25200013,"A coronavirus variant named Mu could be more resistant to vaccines, the WHO has said.

B.1.621 (Mu) was first ident… https://t.co/QzbdGg5eqC",
362,Colombia -filter:retweets,2021-09-01 19:16:44,1433146823900815362,TRVST_Philan,From Cape Cod to Colombia and Back - The Provincetown Independent #philanthropy #givingback via: @PtownIndie https://t.co/CfQkdd5Db8,
363,Colombia -filter:retweets,2021-09-01 19:15:47,1433146586012528644,MarcusHWeber,@MsYouDoYou @j_mcelroy Currently spreading in Florida **Seven residents of a nursing home in Belgium have died afte… https://t.co/9ScCTL3iTL,
364,Colombia -filter:retweets,2021-09-01 19:15:25,1433146496510308352,iF0RLTLPZM,"@93projectlp colombia
Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!",
365,Colombia -filter:retweets,2021-09-01 19:15:04,1433146405732814855,vitamins_mind,"@NightOw41324710 According to various reports, Colombia is on track to become one of the global leader in cannabis production at a low cost.",
366,Colombia -filter:retweets,2021-09-01 19:15:04,1433146405623844864,NationalWorld,A new Covid variant is being monitored by the World Health Organisation https://t.co/2pZJYSQjth in-colombia-being-m… https://t.co/fepBdoogsq,
367,Colombia -filter:retweets,2021-09-01 19:14:37,1433146292222545931,Fran33361237,"@Kmedia_BTS @BTS_twt Colombia
I vote @BTS_twt for #ButterClipe #BTS #Army #Butter and #PermissionToDance at the 2021 Meus Premios Nick #MPN",
368,Colombia -filter:retweets,2021-09-01 19:14:27,1433146249751011331,dpa_intl,WHO monitoring new Covid variant called Mu first detected in Colombia https://t.co/yO7cahEyMR,
369,Colombia -filter:retweets,2021-09-01 19:13:22,1433145978857611268,alme_jandraa,"@93projectlp @TRLP93 Colombia

Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!",
370,Colombia -filter:retweets,2021-09-01 19:13:13,1433145940244828165,haabitxlou,@93projectlp colombia Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!,
371,Colombia -filter:retweets,2021-09-01 19:13:10,1433145930241478656,WarsGenerator,WORLD WAR 6. Started by fascist State of Panama's invasion of Colombia. Allies formed by hindu Soviet Socialist Rep… https://t.co/HiJlYAd3eY,
372,Colombia -filter:retweets,2021-09-01 19:13:03,1433145899996286976,hedwardxz,"@91PROJECTS Colombia
I vote Louis Tomlinson (@Louis_Tomlinson) for #ArtistoftheSummer @965TDY",
373,Colombia -filter:retweets,2021-09-01 19:13:00,1433145887933362178,Jayanta13998620,Now WHO warns of threat of 'Mu' variant found in Colombia https://t.co/3bTmgdci3T via @MailOnline,
374,Colombia -filter:retweets,2021-09-01 19:12:59,1433145880450932740,JEez_Pz,"He has been investigated at the request of the USA and the media, by: Switzerland (3 years) Luxembourg (2) , Belgiu… https://t.co/omppli7cIH",
375,Colombia -filter:retweets,2021-09-01 19:12:57,1433145874603933697,NoLimitPablo_,Just landed in Colombia 🇨🇴,
376,Colombia -filter:retweets,2021-09-01 19:12:19,1433145713265987585,47deg,"@debasishg @noelmarkham @NynyF Hi, @debaishg - unfortunately, we can only hire in the countries we are legally esta… https://t.co/yx2AK6l5nk",
377,Colombia -filter:retweets,2021-09-01 19:12:14,1433145691380060160,iHDLP93,@93projectlp colombia Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!,
378,Colombia -filter:retweets,2021-09-01 19:11:33,1433145522186080259,Namu98650058,"@Kmedia_BTS @BTS_twt Colombia 

I vote @BTS_twt for #ButterClipe #BTS #Army #Butter and #PermissionToDance at the 2… https://t.co/wFh4dg9jDo",
379,Colombia -filter:retweets,2021-09-01 19:10:38,1433145289846759424,bundall,WHO warns of vaccine 'Mu' variant that originated in Colombia https://t.co/AJgyKlagtR,
380,Colombia -filter:retweets,2021-09-01 19:09:38,1433145037555224581,Noelito40,"@lanegreene Reminds me of a term they use in Colombia for a family who goes window shopping, but can't afford to bu… https://t.co/83ujBmLBSF",
381,Colombia -filter:retweets,2021-09-01 19:09:22,1433144972857970693,votezhl,@iFRATH93 colombia I vote Louis Tomlinson (@Louis_Tomlinson) for #ArtistoftheSummer @965TDY,
382,Colombia -filter:retweets,2021-09-01 19:08:33,1433144765030309890,Spacereportern1,"World Health Organization named the 'Mu' COVID-19 strain, B.1.621, a variant of concern
    Strain originated in Co… https://t.co/Csx3X459hd",
383,Colombia -filter:retweets,2021-09-01 19:08:24,1433144728359477250,swadely,"Beautiful visuals+read about a sweeping bird survey in Colombia. Fave detail: Daniel Díaz Alvira, the boy in the bo… https://t.co/3wY0xpiYnI",
384,Colombia -filter:retweets,2021-09-01 19:08:19,1433144707622875139,robertoriverosa,#China pandemic has left #Colombia 4 decades behind poverty-wise and in social development. Biden in just 78months… https://t.co/90emEPTGE0,
385,Colombia -filter:retweets,2021-09-01 19:07:44,1433144561703002114,lovforlwt,"@91PROJECTS colombia

I vote Louis Tomlinson (@Louis_Tomlinson) for #ArtistOfTheSummer @965TDY",
386,Colombia -filter:retweets,2021-09-01 19:07:41,1433144549921239040,camtbwlssss,"@93projectlp Colombia
Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!",
387,Colombia -filter:retweets,2021-09-01 19:07:33,1433144515448254466,niedda420,"@niumobility I live in Colombia, how can order one?",
388,Colombia -filter:retweets,2021-09-01 19:07:26,1433144487400939526,Sofia08_pedroza,"@theheadblink @BLACKPINK Colombia
PRESAVE LS1
I vote #Blinks +#Blackpink on #MPN 
Awards @BLACKPINK",
389,Colombia -filter:retweets,2021-09-01 19:07:22,1433144467154898947,SIMPH4RRIE,@93projectlp Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!! colombia,
390,Colombia -filter:retweets,2021-09-01 19:07:20,1433144461287165956,TrendsWide,A river of five colors in Colombia attracts tourists to see its picturesque views.. Photos https://t.co/EFxGM4wUtK,
391,Colombia -filter:retweets,2021-09-01 19:06:50,1433144332434001927,DaissyAbogad,"TOP MUSIC UNIVERSE AWARDS 2021 https://t.co/rkxdd91H0L 
#BTS @BTS_twt @BTS_Colombia @BTSDreamLabCol",
392,Colombia -filter:retweets,2021-09-01 19:06:11,1433144169048936452,ibrokemykneecap,@ranaltboo would you like to go to South America at any point ? (Colombia say colombia🥲),
393,Colombia -filter:retweets,2021-09-01 19:05:56,1433144106209980421,1w_R28,"@93projectlp Colombia 
Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!",
394,Colombia -filter:retweets,2021-09-01 19:05:34,1433144016879587329,Minchae1D,"@93projectlp colombia
Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!",
395,Colombia -filter:retweets,2021-09-01 19:04:54,1433143849317138437,lee_colombia,🧜🏾‍♂️✨👅✨ retweet if you are in ATL🍑 https://t.co/YCBklIDGeX,
396,Colombia -filter:retweets,2021-09-01 19:04:20,1433143705456816135,juanteen2,@Hideki_Naganuma Did You meet colombia one?,
397,Colombia -filter:retweets,2021-09-01 19:04:08,1433143655561367554,CssiRvsm,Our #RVSMMonitoring Service partner @AviaAero provides #RVSM services in #USA #Mexico #Argentina #Chile #Colombia… https://t.co/PvXXnjMutZ,
398,Colombia -filter:retweets,2021-09-01 19:04:01,1433143625794441216,BlvckoutLos,Wish i was off so i can watch the colombia game tomorrow...,
399,Colombia -filter:retweets,2021-09-01 19:03:44,1433143556210888706,firewilley,"AMERICA's Got Talent?

Judges:
Simon Cowell - from the U.K.
Howie Mandell - from Canada
Sofía Vergara - from Colomb… https://t.co/vjpa0f0VcW",
400,Colombia -filter:retweets,2021-09-01 19:03:02,1433143378636513280,PensikkalaRomo,✔️ DESCUBRE AHORA!  PRODUCTOS SALUD 🔴  Artizen Peppermint Essential Oil (100% Pure &amp; Natural - Undiluted) Therapeut… https://t.co/0zU8aerVKu,
401,Colombia -filter:retweets,2021-09-01 19:02:48,1433143318431551493,YanezPeter,"#Mu, or B.1.621, first identified in Colombia, has been designated as a variant of interest (VOI)

👇

#COVID19 

https://t.co/ZHEP1i7Fd6",
402,Colombia -filter:retweets,2021-09-01 19:02:38,1433143275708456960,lore_1D10,"@93projectlp Colombia
Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!",
403,Colombia -filter:retweets,2021-09-01 19:02:03,1433143128542924801,idua95s,@93projectlp colombia Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!,
404,Colombia -filter:retweets,2021-09-01 19:01:55,1433143098301890564,ilourriesofty,"@93projectlp Colombia 
Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!",
405,Colombia -filter:retweets,2021-09-01 19:01:48,1433143067150794758,liandublin,Boo-u👻 #Cali #Colombia https://t.co/HJqRn1XsAW,
406,Colombia -filter:retweets,2021-09-01 19:01:14,1433142925966315524,_23flow,I need to take a trip to Colombia ASAP,
407,Colombia -filter:retweets,2021-09-01 19:01:10,1433142907100352517,bernieo63,@TheToffeeBlues What happened to those offices we were opening in Miami and Colombia to cash in on James popularity?,
408,Colombia -filter:retweets,2021-09-01 19:01:00,1433142867447402499,inquirerdotnet,"#ICYMI: The World Health Organization has said it is monitoring a new coronavirus variant known as “Mu”, which was… https://t.co/KpIK7Pk71p",
409,Colombia -filter:retweets,2021-09-01 19:00:56,1433142847654477825,httso_,"@Aria_OT7 @BTS_twt @965TDY Colombia 

I vote BTS (@BTS_twt) as the #ArtistoftheSummer @965TDY",
410,Colombia -filter:retweets,2021-09-01 19:00:44,1433142799130677250,SoMetroRadio,"SoMetro Radio #nowplaying - Same Page, Different Book by @Prince | Thanks to our listeners in the Philippines, Colo… https://t.co/nhiU2STRJ2",
411,Colombia -filter:retweets,2021-09-01 19:00:42,1433142792109297664,InvestorIdeas,#Colombian #Gold #Stocks News:  O2Gold Inc’s (TSXV: $OTGO.V)  @otgo_v NEW GROUND GEOPHYSICS RESULTS EXTEND THE PROJ… https://t.co/TBzciVpg5u,
412,Colombia -filter:retweets,2021-09-01 19:00:35,1433142761356767234,noviember23,@93projectlp Colombia Hi @965TDY I'm requesting #Sunshine by @LiamPayne for this weeks #Hot20Countdown thanks!!,
413,Colombia -filter:retweets,2021-09-01 19:00:30,1433142738451681287,GetGlobalNet,"#NowPlaying on SoMetro Radio -  Same Page, Different Book by @Prince | Thanks to our listeners in the Philippines,… https://t.co/kA3iUacFMv",
414,Colombia -filter:retweets,2021-09-01 19:00:29,1433142734919962625,IrrationalLabs,Participants shared 1000+ messages in the chat! Then we broke into breakout groups to discuss their experiences wit… https://t.co/BL5PaHM4Iy,
415,Colombia -filter:retweets,2021-09-01 19:00:05,1433142635888320519,PolandballBot,Colombia is of smart https://t.co/ahF4H0QMiT https://t.co/hye3xSTe9C,
416,Colombia -filter:retweets,2021-09-01 19:00:01,1433142617580003332,earthwatch_org,"A century after museum collectors surveyed Colombia’s avian fauna, a new generation of researchers returns to see w… https://t.co/e4lrqP0UpB",
417,Colombia -filter:retweets,2021-09-01 19:00:01,1433142617026465793,GoogleTrends,"Colombia's Carlos Zárate set a Paralympic record en route to the gold in the Men’s 100m Breaststroke SB7!! 

This i… https://t.co/Rqs22PEUIg",
418,Colombia -filter:retweets,2021-09-01 18:59:52,1433142581286813696,lauren_hartwig,"The World Health Organization is monitoring a new COVID-19 variant, ""mu."" The variant has mutations that could evad… https://t.co/0aIphez7qX",
